x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,e,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,pk,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,,,,x,x,x,x,x,x,x
x,x,x,x,x,x,x,,BOMB,,,,,x,x,x,x
x,x,x,x,x,x,x,,,,x,x,,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x
x,x,x,x,x,x,x,x,x,x,,,,,,x,x
x,x,x,x,x,x,x,x,x,x,,x,x,x,,x,x
x,x,x,x,x,x,x,x,x,,,,x,x,,x,x
x,x,x,x,x,x,x,x,x,,BOMB,,x,x,,x,x
x,x,x,x,x,x,x,x,x,,,,x,x,,x,x
x,x,x,x,x,x,x,x,x,x,,x,x,x,,x,x
x,x,x,x,x,x,x,x,x,x,,,,,,x,x
x,x,x,x,x,x,x,x,x,x,x,,s,,x,x,x
x,x,x,x,x,x,x,x,x,x,p1,,,,p1,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x